mp-8 Re2
mp-11252 Au2Mn
mp-1606 Au2Nb
mp-30373 AuRb
mp-1018148 Au2Sc
mp-972895 Au6Sc2
mp-980109 Au6Sn2
mp-1018123 Au2Ti
mp-1187512 Au3Ti
mp-12635 Au4Ti
mp-1079467 Au6Y2
mp-1018103 Au2Zr
mp-1079681 Au6Zr2
mp-1298 Au5K
mp-1209 Au5Rb
mp-2103 Au3Cu
mp-1186109 Au3Na
mp-990232 Au4Mn
mp-1068446 Au4Sc
mp-865144 Au6Cd2
mp-1186010 Au6Mn2
mp-1186447 Au6Pd2
mp-2793 Au2Se2
mp-1066078 Bi2Pt2
mp-1021328 CH4
mp-1552 C4Mo8
mp-2305 CMo
mp-2318 CNb2
mp-910 CNb
mp-568619 C5Si5
mp-1094034 C4Ti6
mp-631 CTi
mp-20648 C4V8
mp-1282 CV
mp-2034 C4W8
mp-22904 Ca2Cl4
mp-1205322 H4Ca2
mp-1009657 CaN2
mp-13147 Ca3N2
mp-30481 CaPt5
mp-1672 CaS
mp-7493 Ca2Sb4
mp-569170 Ca4Te4
mp-632403 CdCl2
mp-866022 CdPt3
mp-1194 Cd2Pt2
mp-672 Cd2S2
mp-1070 Cd2Se2
mp-12779 Cd2Te2
mp-632413 Cl2Co
mp-22857 Cl4Cr2
mp-22865 ClCs
mp-1225654 ClCu
mp-30999 Cl2Cu
mp-23229 Cl2Fe
mp-632326 H2Cl2
mp-23289 ClK
mp-1221436 Cl6Mo
mp-22862 ClNa
mp-27396 Cl2Ni
mp-569008 Cl4Pd2
mp-567484 Cl4Pt2
mp-23299 ClRb
mp-28116 Cl2Ti
mp-571143 Cl6Ti2
mp-23167 ClTl
mp-22877 Cl2V
mp-28117 Cl6V2
mp-567279 Cl4Zn2
mp-1206874 HCo
mp-1205986 Co6N2
mp-22270 Co4P4
mp-1079393 Co6Si2
mp-22631 Co4N2
mp-13446 Co6P3
mp-14285 Co4P8
mp-922 CoPt3
mp-949 Co2Pt2
mp-1147746 Co2S2
mp-9835 Co2Sb4
mp-604908 Co2Se2
mp-19905 Co8Si4
mp-865733 Co2Tc6
mp-788 Co2Te2
mp-448 CoN
mp-2070 Co4S8
mp-20862 Co2Se4
mp-9945 Co2Te4
mp-24208 H2Cr
mp-1014303 Cr3N2
mp-7291 Cr2P4
mp-1206750 CrPt
mp-849067 Cr2S2
mp-7576 Cr4Si4
mp-1183691 CrN
mp-21048 Cr4P4
mvc-13555 CrS2
mp-1009581 CrSe2
mp-2515 CrPt3
mp-632319 HCs
mp-1225892 CsN3
mp-1247784 Cs2Se
mp-1225835 Cu4S2
mp-1183969 Cu3Sb
mp-1225731 Cu3S2
mp-20683 Cu6Se4
mp-972828 Cu3Si
mp-1225676 Cu3Te2
mp-927 Cu4P8
mp-1068 Cu4S8
mp-760381 CuS
mp-580226 Cu2Se2
mp-20826 Cu2Te2
mp-20027 Fe2P4
mp-2260 FePt
mp-1522 Fe2S4
mp-505531 Fe2S2
mp-20311 Fe2Se2
mp-871 Fe4Si4
mp-1225186 Fe4Si2
mp-21273 Fe2Te2
mp-1005 Fe4P4
mp-1077083 Fe2Sb4
mp-19880 Fe2Te4
mp-11407 GaPt3
mp-1025551 Ga4Pt4
mp-556742 Ga4S4
mp-1057086 GaN
mp-2490 GaP
mp-1078666 Ga2Pt6
mp-1018059 Ga2Sb2
mp-867841 GaTc
mp-542640 Ge4Pt4
mp-2242 Ge4S4
mp-10759 GeSe
mp-938 GeTe
mp-20061 Ge3Pt6
mp-1071032 Ge2S4
mp-33024 H8S4
mp-24084 HK
mp-23870 HNa
mp-24154 H2Nb
mp-24719 HNi
mp-24237 H2Sc
mp-973053 H3Sc
mp-23759 H4Sr2
mp-24726 H2Ti
mp-24728 H2V
mp-1084805 H6Y2
mp-24286 H2Zr
mp-570960 Hf4Os8
mp-1102018 Hf4P8
mp-9922 Hf2S6
mp-985829 HfS2
mp-1018717 Hf2Sb4
mp-985831 HfSe2
mp-1069 Hf2Si4
mp-1042 Hf4Si4
mp-973676 Hg2S2
mp-1018722 Hg3Se3
mp-1071269 Hg3Te3
mp-630528 In4S4
mp-20411 InN
mp-966800 In2P2
mp-10125 Ir2Sb2
mp-1217409 IrTc
mp-10155 Ir4P8
mp-2285 IrTe2
mp-559278 K8S4
mp-12857 Mn3N2
mp-754064 Mn2P4
mp-2662 Mn4P4
mp-1180 MnPt3
mp-1670 Mn2Pt2
mp-2065 Mn2S2
mp-786 Mn2Sb2
mp-10204 Mn2Se2
mp-1078466 Mn4Si4
mp-1080073 Mn4Te4
mp-6933 MnN
mp-1887 Mo2P4
mp-999502 Mo2Pt2
mp-1078389 Mo4N4
mp-219 MoP
mp-1627 Mo4S6
mp-952 MoPt2
mp-1018809 Mo2S4
mp-1023934 MoSe2
mp-602 Mo2Te4
mp-1221425 MoPt3
mp-10564 N2Sr
mp-1064952 N3Na
mp-581833 N3Rb
mp-2634 NNb
mp-2857 NSc
mp-1459 NTa
mvc-13876 N2Ti2
mp-1018027 NV
mp-999549 N2W
mp-6913 N2Y2
mp-1352 NZr
mp-2400 Na4S4
mp-1077116 Nb2P4
mp-999376 Nb2Pt2
mp-2243 NbS
mp-1220631 Nb3S4
mp-2478 Nb3Si6
mp-1078996 Nb6Si4
mp-9339 Nb2P2
mp-1220681 Nb2Se3
mp-1220323 NbTc
mp-1078699 Nb2Pt6
mp-11514 NbPt2
mp-10033 Nb2S4
mp-10228 NbSe2
mp-1018150 NbTe2
mp-1186225 NbOs3
mp-976847 Ni3Sb
mp-828 Ni3Si
mp-31103 Ni6Te4
mp-21167 Ni6P3
mp-486 Ni2P4
mp-1186117 NiPt3
mp-568067 Ni2Pt2
mp-662 Ni2Se2
mp-1095177 Ni4Si4
mp-1118 Ni8Si4
mp-867357 Ni2Tc6
mp-203 Ni2Te2
mp-849059 Ni2S4
mp-1071078 Ni2Se4
mp-999192 Ni2Si2
mp-2578 NiTe2
mp-567612 Os8Sc4
mp-1187243 Os3Ta
mp-2319 Os2P4
mp-1220023 OsRu
mp-291 OsTi
mp-12778 OsV
mp-1186374 Os6W2
mp-11541 OsZr
mp-20905 Os4S8
mp-10015 OsSi
mp-730 P8Pt4
mp-1413 P4Ru2
mp-1080439 P8Ru2
mp-20327 P8Ti4
mp-9923 P4V2
mp-11328 P4W2
mp-21065 P8Si4
mp-15953 P8Rh4
mp-12636 P4Ru4
mp-2807 PSc
mp-7526 PSn
mp-1067587 P2Ta2
mp-739 P4Ti4
mp-1114 P2V2
mp-2420 P4W4
mp-994 PY
mp-11345 P4Zr4
mp-20828 PbPt3
mp-1066274 Pb2Pt2
mp-1018019 Pb2S2
mp-1186450 PdPt3
mp-1219908 PdPt
mp-861610 Pd2Tc6
mp-564 Pd2Te2
mp-782 PdTe2
mp-570832 Pt5Sr
mp-481 Pt3Sc
mp-12107 Pt3Ti
mp-2705 Pt3V
mp-30856 Pt3Zn
mp-30858 Pt3Zr
mp-1079269 Pt6Si2
mp-30850 Pt6Ta2
mp-972220 Pt6Ti2
mp-558811 Pt2S2
mp-1120769 PtRu
mp-892 PtSc
mp-1299 Pt2Si
mp-30849 Pt4Ta2
mp-998949 Pt2Ti2
mp-2678 Pt2V2
mp-12108 Pt2V
mp-1018129 Pt2W
mp-862798 Pt3W
mp-1065995 Pt2Zr2
mp-762 PtS2
mp-1115 PtSe2
mp-399 PtTe2
mp-861626 Rh2Tc6
mp-1217422 RhTc
mp-22555 Rh4S8
mp-1078989 Rh4Si4
mp-228 RhTe2
mp-189 Ru4Si4
mp-10025 Ru8Si4
mp-20928 Ru2Sb4
mp-7565 Ru4Sb4
mp-1217363 RuTc
mp-2030 Ru4S8
mp-381 RuSi
mp-267 Ru2Te4
mp-9920 S6Ti2
mp-9921 S6Zr2
mp-1476 SSc
mp-1876 SSn
mp-1170 S2Sn
mp-1072086 S4Ta2
mp-554462 S2Ti2
mp-684650 S2Ti
mp-1868 S4V4
mp-849054 S4V2
mp-224 S4W2
mp-10695 SZn
mp-1925 SZr
mp-1186 S2Zr
mp-10636 Sb4Sr2
mp-2187 Sb2Ti2
mp-1187486 SbTl3
mp-569671 Sb4Zr4
mp-10026 Sc2Te2
mp-665 Se2Sn
mp-1019276 Se4Ta2
mp-1217269 Se2Te
mp-568789 Se2Ti2
mp-2194 Se2Ti
mp-604914 Se2V2
mp-694 Se2V
mp-1023936 Se2W
mp-1190 SeZn
mp-1183040 SeZr
mp-2076 Se2Zr
mp-8939 Si6W3
mp-1077503 Si4Ti2
mp-893 Si4Zr4
mp-13051 Si2Sr4
mp-7092 Si4Ti4
mp-11322 Si2Zr2
mp-11572 TaTc
mp-11573 TcTi
mp-2540 TcV
mp-1077365 Te4Y2
mp-567832 Te2Ti2
mp-1907 Te2Ti
mp-1008626 Te2V
mp-1023926 Te2W
mp-8884 Te2Zn2
mp-569544 Te2Zr2
mp-1018107 Te2Zr
